Year,Revenue_Type,Revenue 
"Actual_2015_2016","Taxes",421096616
"Actual_2016_2017","Taxes",528574874
"Estimated_2017_2018","Taxes",666204558
"Actual_2015_2016","Non_Tax_Revenue",60865036
"Actual_2016_2017","Non_Tax_Revenue",52413761
"Estimated_2017_2018","Non_Tax_Revenue",63851012
